Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
12309	10	722	Artaxerxes Sends Nehemiah to Jerusalem	NEH 2:1-10
12319	10	723	Nehemiah Inspects Jerusalem's Walls	NEH 2:11-20
12329	32	724	Builders of the Wall	NEH 3:1-32
12361	23	725	Opposition to the Rebuilding	NEH 4:1-23
12384	19	726	Nehemiah Helps the Poor	NEH 5:1-19
12403	14	727	Further Opposition to the Rebuilding	NEH 6:1-14
12417	8	728	The Completion of the Wall	NEH 6:15-7:3
12425	69	729	The List of the Exiles Who Returned	NEH 7:4-72
12494	19	730	Ezra Reads the Law	NEH 7:73-8:18
12513	37	731	The Israelites Confess Their Sins	NEH 9:1-37
12550	40	732	The Agreement of the People	NEH 9:38-10:39
12590	36	733	The New Residents of Jerusalem	NEH 11:1-36
12626	26	734	Priests and Levites	NEH 12:1-26
12652	21	735	Dedication of the Wall of Jerusalem	NEH 12:27-47
12673	31	736	Nehemiah's Final Reforms	NEH 13:1-31
12704	22	737	Queen Vashti Deposed	ESTH 1:1-22
12726	18	738	Esther Made Queen	ESTH 2:1-18
12744	5	739	Mordecai Uncovers a Conspiracy	ESTH 2:19-23
12749	15	740	Haman's Plot to Destroy the Jews	ESTH 3:1-15
12764	17	741	Mordecai Persuades Esther to Help	ESTH 4:1-17
12781	8	742	Esther's Request to the King	ESTH 5:1-8
12789	6	743	Haman's Rage Against Mordecai	ESTH 5:9-14
12795	14	744	Mordecai Honored	ESTH 6:1-14
12809	10	745	Haman Hanged	ESTH 7:1-10
12819	17	746	The King's Edict in Behalf of the Jews	ESTH 8:1-17
12836	17	747	Triumph of the Jews	ESTH 9:1-17
12853	15	748	Purim Celebrated	ESTH 9:18-32
12868	3	749	The Greatness of Mordecai	ESTH 10:1-3
12871	5	750	Prologue	JOB 1:1-5
12876	17	751	Job's First Test	JOB 1:6-22
12893	10	752	Job's Second Test	JOB 2:1-10
12903	3	753	Job's Three Friends	JOB 2:11-13
12906	26	754	Job Speaks	JOB 3:1-26
12932	48	755	Eliphaz	JOB 4:1-5:27
12980	51	756	Job	JOB 6:1-7:21
13031	22	757	Bildad	JOB 8:1-22
13053	57	758	Job	JOB 9:1-10:22
13110	20	759	Zophar	JOB 11:1-20
13130	75	760	Job	JOB 12:1-14:22
13205	35	761	Eliphaz	JOB 15:1-35
13240	38	762	Job	JOB 16:1-17:16
13278	21	763	Bildad	JOB 18:1-21
13299	29	764	Job	JOB 19:1-29
13328	29	765	Zophar	JOB 20:1-29
13357	34	766	Job	JOB 21:1-34
13391	30	767	Eliphaz	JOB 22:1-30
13421	42	768	Job	JOB 23:1-24:25
13463	6	769	Bildad	JOB 25:1-6
13469	161	770	Job	JOB 26:1-31:40
13630	165	771	Elihu	JOB 32:1-37:24
13795	129	772	The LORD Speaks	JOB 38:1-41:34
13924	6	773	Job	JOB 42:1-6
13930	11	774	Epilogue	JOB 42:7-17
13941	18	775	BOOK I : Psalms 1-41	PS 1:1-2:12
13959	8	776	A psalm of David. When he fled from his son Absalom.	PS 3:1-8
13967	8	777	For the director of music. With stringed instruments. A psalm of David.	PS 4:1-8
13975	12	778	For the director of music. For flutes. A psalm of David.	PS 5:1-12
13987	10	779	For the director of music. With stringed instruments. According to sheminith . A psalm of David.	PS 6:1-10
13997	17	780	A shiggaion of David, which he sang to the LORD concerning Cush, a Benjamite.	PS 7:1-17
14014	9	781	For the director of music. According to gittith . A psalm of David.	PS 8:1-9
14023	38	782	For the director of music. To the tune of ôThe Death of the Son.ö A psalm of David.	PS 9:1-10:18
14061	7	783	For the director of music. Of David.	PS 11:1-7
14068	8	784	For the director of music. According to sheminith . A psalm of David.	PS 12:1-8
14076	6	785	For the director of music. A psalm of David.	PS 13:1-6
14082	7	786	For the director of music. Of David.	PS 14:1-7
14089	5	787	A psalm of David.	PS 15:1-5
14094	11	788	A miktam of David.	PS 16:1-11
14105	15	789	A prayer of David.	PS 17:1-15
14120	50	790	For the director of music. Of David the servant of the LORD . He sang to the LORD the words of this song when the LORD delivered him from the hand of all his enemies and from the hand of Saul. He said:	PS 18:1-50
14170	14	791	For the director of music. A psalm of David.	PS 19:1-14
14184	9	792	For the director of music. A psalm of David.	PS 20:1-9
14193	13	793	For the director of music. A psalm of David.	PS 21:1-13
14206	31	794	For the director of music. To the tune of ôThe Doe of the Morning.ö A psalm of David.	PS 22:1-31
14237	6	795	A psalm of David.	PS 23:1-6
14243	10	796	Of David. A psalm.	PS 24:1-10
14253	22	797	Of David.	PS 25:1-22
14275	12	798	Of David.	PS 26:1-12
14287	14	799	Of David.	PS 27:1-14
14301	9	800	Of David.	PS 28:1-9
14310	11	801	A psalm of David.	PS 29:1-11
14321	12	802	A psalm. A song. For the dedication of the temple. Of David.	PS 30:1-12
14333	24	803	For the director of music. A psalm of David.	PS 31:1-24
14357	33	804	Of David. A maskil.	PS 32:1-33:22
14390	22	805	Of David. When he pretended to be insane before Abimelech, who drove him away, and he left.	PS 34:1-22
14412	28	806	Of David.	PS 35:1-28
14440	12	807	For the director of music. Of David the servant of the LORD .	PS 36:1-12
14452	40	808	Of David.	PS 37:1-40
14492	22	809	A psalm of David. A petition.	PS 38:1-22
14514	13	810	For the director of music. For Jeduthun. A psalm of David.	PS 39:1-13
14527	17	811	For the director of music. Of David. A psalm.	PS 40:1-17
14544	13	812	For the director of music. A psalm of David.	PS 41:1-13
14557	16	813	BOOK II : Psalms 42-72; 42:For the director of music. A maskil of the Sons of Korah.	PS 42:1-43:5
14573	26	814	For the director of music. Of the Sons of Korah. A maskil.	PS 44:1-26
14599	17	815	For the director of music. To the tune of ôLilies.ö Of the Sons of Korah. A maskil. A wedding song.	PS 45:1-17
14616	11	816	For the director of music. Of the Sons of Korah. According toalamoth. A song.	PS 46:1-11
14627	9	817	For the director of music. Of the Sons of Korah. A psalm.	PS 47:1-9
14636	14	818	A song. A psalm of the Sons of Korah.	PS 48:1-14
14650	20	819	For the director of music. Of the Sons of Korah. A psalm.	PS 49:1-20
14670	23	820	A psalm of Asaph.	PS 50:1-23
14693	19	821	For the director of music. A psalm of David. When the prophet Nathan came to him after David had committed adultery with Bathsheba.	PS 51:1-19
14712	9	822	For the director of music. A maskil of David. When Doeg the Edomite had gone to Saul and told him: ôDavid has gone to the house of Ahimelech.ö	PS 52:1-9
14721	6	823	For the director of music. According to mahalath. A maskil of David.	PS 53:1-6
